                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9072,                  3.564,                0.34083,                 2.4228,                 1.3119,                0.81484,                0.83984,                0.90076,                0.62764,                0.66765,                0.71048,                 0.7106,                0.43334,                 0.8545,                 2.4059,                0.17265,                  1.942,                 1.3314,             0.00037154,             0.00037154,             0.00037154
                      2,                 1.0419,                 3.9369,                0.33055,                 1.6825,                 1.3271,                0.69556,                0.70712,                0.81055,                0.55507,                0.54345,                0.60126,                0.60646,                0.24548,                 1.0002,                 3.5877,                0.22617,                 2.7016,                 1.5189,             0.00071988,             0.00071988,             0.00071988
                      3,                 1.1014,                 4.2362,                0.34269,                 1.5974,                 1.3681,                 0.7067,                0.73365,                0.78918,                0.47661,                0.49466,                 0.5718,                0.53573,                0.21302,                 1.1651,                 3.6624,                0.24263,                  2.925,                 1.7227,                0.00103,                0.00103,                0.00103
                      4,                 1.1616,                 4.5274,                0.36298,                 1.4806,                  1.404,                0.69584,                0.65032,                0.71938,                0.39539,                0.18197,                 0.2859,                 0.1613,                0.04723,                  1.385,                 5.3701,                0.38046,                 2.4301,                 1.8168,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.1851,                 4.5006,                0.34933,                 1.5076,                 1.3975,                0.76897,                0.81265,                0.82433,                0.51006,                0.58962,                0.54021,                0.52421,                0.21098,                 1.2134,                 4.0341,                0.23266,                  1.421,                 1.6618,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.1525,                 4.4688,                0.35139,                 1.3472,                 1.4352,                0.82753,                0.77168,                0.86073,                0.55773,                0.63679,                0.59498,                0.57171,                0.19463,                 1.0869,                 4.0709,                 0.2098,                 1.1646,                 1.5541,              0.0010753,              0.0010753,              0.0010753
                      7,                 1.1205,                 4.4668,                0.34595,                 1.3184,                 1.3815,                0.75392,                  0.825,                0.83317,                0.53934,                0.66719,                0.65335,                0.64089,                0.25098,                 1.0873,                 3.6356,                0.24747,                 1.1656,                  1.537,              0.0010046,              0.0010046,              0.0010046
                      8,                 1.0719,                 4.4253,                0.33254,                 1.2553,                 1.3671,                0.86296,                0.84862,                0.90681,                0.60184,                0.71014,                0.61707,                0.65114,                0.30246,                 1.0872,                 3.3211,                 0.2547,                 1.0313,                 1.5285,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.1463,                 4.3676,                0.34217,                 1.2779,                 1.4668,                0.84034,                0.88073,                 0.9137,                0.60554,                0.80486,                0.72655,                0.76441,                0.32108,                 1.1095,                 3.2664,                0.29316,                0.93348,                 1.5536,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.1036,                 4.2078,                0.32065,                  1.231,                 1.3904,                0.84572,                0.87742,                0.92338,                0.65874,                0.66494,                0.68901,                0.69539,                0.28951,                 1.0057,                 3.3084,                0.25041,                0.89591,                 1.4526,             0.00079238,             0.00079238,             0.00079238
                     11,                0.94361,                 3.4195,                0.26151,                0.99689,                 1.3902,                0.85918,                0.91958,                0.92443,                0.64144,                0.75589,                0.72944,                0.71537,                0.29962,                 1.0404,                 3.1446,                0.19908,                0.83005,                 1.4389,             0.00072164,             0.00072164,             0.00072164
                     12,                0.84018,                 2.9867,                0.24381,                0.90353,                  1.316,                0.87697,                0.92722,                0.93772,                0.67983,                0.67437,                0.66958,                0.65658,                0.33097,                0.94196,                  3.033,                0.19409,                0.79647,                 1.3797,             0.00065091,             0.00065091,             0.00065091
                     13,                0.83164,                 2.8427,                0.23717,                0.87313,                 1.3086,                0.89291,                0.87472,                0.90795,                0.65145,                 0.7626,                0.71944,                0.69161,                0.37626,                 1.0124,                 2.7874,                0.18682,                0.83558,                 1.4227,             0.00058017,             0.00058017,             0.00058017
                     14,                0.77865,                 2.5661,                0.21442,                0.80213,                 1.2166,                0.97761,                0.85017,                0.94962,                0.72134,                0.89005,                0.77274,                0.82012,                0.39939,                 0.8652,                 2.5669,                 0.1851,                0.72673,                 1.3203,             0.00050944,             0.00050944,             0.00050944
                     15,                0.72815,                 2.4192,                0.20661,                 0.7636,                 1.1775,                0.95607,                0.90895,                0.95896,                 0.7492,                0.89932,                0.82667,                0.84912,                0.45489,                0.79338,                 2.3612,                0.20167,                0.67296,                 1.2796,              0.0004387,              0.0004387,              0.0004387
                     16,                0.70795,                 2.2462,                 0.1951,                0.71497,                 1.2154,                0.92423,                0.88951,                0.94265,                0.72348,                0.83098,                0.80105,                0.82831,                0.49493,                0.77564,                 2.1522,                0.18162,                0.72815,                 1.2456,             0.00036797,             0.00036797,             0.00036797
                     17,                0.68555,                 2.1688,                0.21582,                0.68057,                 1.1759,                0.92554,                0.88379,                0.95671,                0.76809,                0.86272,                0.84107,                0.88478,                0.51347,                0.75975,                 2.0696,                0.17433,                0.66624,                 1.2344,             0.00029723,             0.00029723,             0.00029723
                     18,                0.60875,                 2.0501,                0.19605,                0.61827,                 1.1241,                 0.8958,                0.94116,                0.96207,                  0.792,                0.87752,                0.89113,                0.90248,                0.54836,                0.70325,                 1.9006,                0.16504,                0.57305,                 1.1922,              0.0002265,              0.0002265,              0.0002265
                     19,                0.58626,                 1.7895,                0.18275,                0.59011,                 1.1016,                0.92375,                0.94401,                0.96799,                0.79927,                0.89519,                  0.895,                0.89231,                0.56667,                0.66691,                 1.7853,                0.16421,                0.54071,                 1.1741,             0.00015576,             0.00015576,             0.00015576
                     20,                 0.5711,                 1.8014,                 0.1949,                0.58357,                   1.09,                0.94546,                0.93331,                0.96554,                 0.8083,                0.93906,                0.91462,                 0.9261,                0.58309,                0.65609,                 1.7208,                0.16379,                0.52915,                  1.163,             8.5026e-05,             8.5026e-05,             8.5026e-05
